location,total_sqft,bath,price,bhk
sector61.0,1630,3,244,3
sector61.0,1650,3,240,3
sector61.0,1650,3,240,3
sector61.0,1630,3,228,3
sector61.0,1398,3,225,3
sector61.0,1398,3,225,3
sector61.0,1630,3,214,3
sector61.0,1630,3,228,3
sector62.0,3100,4,715,4
sector62.0,1800,4,414,3
sector62.0,2589,3,440,3
sector62.0,2589,3,440,3
sector62.0,2123,3,382,3
sector62.0,2123,3,382,3
sector62.0,2200,3,430,3
sector62.0,2200,3,430,3
sector62.0,2124,3,425,3
sector62.0,2124,3,425,3
sector62.0,1700,3,381,3
sector62.0,1700,3,381,3
sector62.0,1510,3,374,3
sector62.0,1750,4,365,4
sector62.0,1750,4,365,4
sector62.0,1510,3,374,3
sector62.0,1750,4,365,4
sector63.0,1400,3,180,3
sector63.0,2050,3,388,3
sector63.0,2050,3,388,3
sector63.0,1470,3,243,3
sector63.0,1470,3,243,3
sector63.0,2800,3,410,3
sector63.0,1470,3,227,3
sector63.0,1570,3,207,3
sector63.0,1190,3,230,3
sector63.0,1570,3,207,3
sector63.0,1190,3,230,3
sector63.0,3300,4,385,4
sector63.0,2700,5,580,5
sector63.0,3300,4,385,4
sector63.0,2700,5,580,5
sector63.0,2000,4,310,4
sector63.0,1600,3,190,3
sector63.0,1717,3,250,3
sector63.0,1870,3,270,3
sector63.0,1870,3,270,3
sector63.0,3900,4,800,4
sector63.0,1330,3,269,3
sector63.0,3900,4,800,4
sector63.0,1330,3,269,3
sector63.0,3123,4,523,4
sector63.0,3123,4,523,4
sector63.0,3950,4,710,4
sector63.0,3950,4,710,4
sector63.0,1305,3,200,3
sector63.0,1600,3,190,3
sector63.0,3900,4,800,4
sector63.0,3900,4,800,4
sector63.0,1070,2,161,2
sector63.0,1070,2,161,2
sector63.0,3900,4,791,4
sector63.0,3900,4,791,4
sector63.0,1540,3,222,3
sector63.0,1540,3,222,3
sector63.0,600,1,113,1
sector63.0,1593,3,220,3
sector63.0,1593,3,220,3
sector63.0,1400,3,270,3
sector63.0,1400,3,270,3
sector63.0,1036,3,180,3
sector63.0,1036,3,180,3
sector63.0,1400,3,180,3
sector63.0,1400,3,180,3
sector63.0,600,1,113,1
sector63.0,1400,3,180,3
sector63.0,2050,3,388,3
other,2450,4,181,4
other,2450,4,181,4
other,2700,4,171,4
other,1635,3,160,3
other,1635,3,160,3
sector65.0,1310,2,187,2
sector65.0,2150,4,350,4
sector65.0,2150,4,350,4
sector65.0,1750,4,250,4
sector65.0,4992,5,900,4
sector65.0,1750,4,250,4
sector65.0,4992,5,900,4
sector65.0,1650,3,250,3
sector65.0,2850,5,370,4
sector65.0,1650,3,250,3
sector65.0,2850,5,370,4
sector65.0,3494,3,600,3
sector65.0,1080,2,145,2
sector65.0,1180,3,195,3
sector65.0,3494,3,600,3
sector65.0,1080,2,145,2
sector65.0,2500,3,576,3
sector65.0,2500,3,576,3
sector65.0,4300,5,970,4
sector65.0,1850,4,280,4
sector65.0,1380,3,195,3
sector65.0,1380,3,195,3
sector65.0,1620,3,249,3
sector65.0,802,2,176,2
sector65.0,802,2,176,2
sector65.0,1650,3,280,3
sector65.0,1125,3,180,3
sector65.0,2050,3,320,3
sector65.0,3000,4,400,4
sector65.0,3000,4,400,4
sector65.0,3000,3,700,3
sector65.0,3000,3,700,3
sector65.0,3887,5,600,3
sector65.0,3887,5,600,3
sector65.0,1750,3,230,4
sector65.0,1750,3,230,4
sector65.0,3000,4,375,4
sector65.0,810,2,189,2
sector65.0,3000,4,375,4
sector65.0,810,2,189,2
sector65.0,1250,3,190,3
sector65.0,1828,3,300,3
sector65.0,1828,3,300,3
sector65.0,1516,3,209,2
sector65.0,2725,4,550,4
sector65.0,1516,3,209,2
sector65.0,2725,4,550,4
sector65.0,1828,3,280,3
sector65.0,1828,3,280,3
sector65.0,1310,2,187,2
sector65.0,1310,2,187,2
sector65.0,1620,3,249,3
sector65.0,1650,3,280,3
sector65.0,1125,3,180,3
sector65.0,2050,3,320,3
sector65.0,1250,3,190,3
sector65.0,1310,2,187,2
sector65.0,2150,4,350,4
sector66.0,2550,3,405,3
sector66.0,3660,4,671,4
sector66.0,2550,3,405,3
sector66.0,3660,4,671,4
sector66.0,1472,4,270,3
sector66.0,1472,4,270,3
sector66.0,1800,3,299,3
sector66.0,1800,3,299,3
sector66.0,1490,4,265,3
sector66.0,1490,4,265,3
sector66.0,1600,3,290,3
sector66.0,1600,3,290,3
sector66.0,2410,4,360,4
sector66.0,2100,4,330,4
sector66.0,2100,4,330,4
sector66.0,1280,2,190,2
sector66.0,1280,2,190,2
sector66.0,2666,4,440,4
sector66.0,2666,4,440,4
sector66.0,3035,3,562,3
sector66.0,3035,3,562,3
sector66.0,2550,3,405,3
sector67.0,2150,4,225,4
sector67.0,2100,4,190,4
sector67.0,2100,4,190,4
sector67.0,1950,4,300,4
sector67.0,2271,4,350,3
sector67.0,1800,3,215,4
sector67.0,1950,4,300,4
sector67.0,2271,4,350,3
sector67.0,1800,3,215,4
sector67.0,1800,4,180,4
sector67.0,1875,4,170,4
sector67.0,1875,4,170,4
sector67.0,1900,4,345,3
sector67.0,2500,4,300,4
sector67.0,1900,4,345,3
sector67.0,2500,4,300,4
sector67.0,2000,4,185,4
sector67.0,2000,4,185,4
sector67.0,1800,3,325,3
sector67.0,1800,3,325,3
sector67.0,1800,4,215,4
sector67.0,1800,4,215,4
sector67.0,2385,3,365,3
sector67.0,2385,3,365,3
sector67.0,1476,3,200,3
sector67.0,1476,3,200,3
sector67.0,2408,4,275,3
sector67.0,2408,4,275,3
sector67.0,700,2,61,2
sector67.0,700,2,61,2
sector67.0,1100,2,160,2
sector67.0,1100,2,160,2
sector67.0,3400,4,525,4
sector67.0,700,2,60,2
sector67.0,3400,4,525,4
sector67.0,700,2,60,2
sector67.0,1550,4,185,4
sector67.0,1550,4,185,4
sector67.0,2200,3,400,3
sector67.0,2200,3,400,3
sector67.0,200,1,24,1
sector67.0,2200,4,205,4
sector67.0,2200,4,205,4
sector67.0,5039,5,850,5
sector67.0,5039,5,850,5
sector67.0,691,2,55.2,2
sector67.0,691,2,55.2,2
sector67.0,2365,4,290,4
sector67.0,1394,3,117,3
sector67.0,2365,4,290,4
sector67.0,1394,3,117,3
sector67.0,2200,4,205,4
sector67.0,5900,4,900,4
sector67.0,2200,4,205,4
sector67.0,5900,4,900,4
sector67.0,3192,4,445,4
sector67.0,3192,4,445,4
sector67.0,1123,2,150,2
sector67.0,591,2,59.8,2
sector67.0,1850,4,175,4
sector67.0,1123,2,150,2
sector67.0,591,2,59.8,2
sector67.0,1850,4,175,4
sector67.0,1500,3,140,3
sector67.0,2300,3,225,3
sector67.0,2150,4,225,4
sector67.0,2150,4,225,4
sector67.0,200,1,24,1
sector67.0,1500,3,140,3
sector67.0,2150,4,225,4
sector67.0,2100,4,190,4
sector68.0,1750,3,160,3
sector68.0,1750,3,160,3
sector68.0,1623,3,219,3
sector68.0,1999,4,195,4
sector68.0,1520,3,170,3
sector68.0,1260,2,112,2
sector68.0,1260,2,112,2
sector68.0,1245,2,87.4,2
sector68.0,1245,2,87.4,2
sector68.0,1999,4,170,4
sector68.0,1999,4,170,4
sector68.0,1245,2,92,2
sector68.0,1245,2,92,2
sector68.0,1180,2,85,2
sector68.0,1180,2,85,2
sector68.0,1450,3,118,3
sector68.0,1450,3,118,3
sector68.0,1999,4,195,4
sector68.0,1460,3,156,3
sector68.0,1245,2,92,2
sector68.0,1245,2,92,2
sector68.0,1270,2,116,2
sector69.0,1850,4,230,4
sector69.0,1850,4,260,4
sector69.0,3156,4,450,4
sector69.0,3156,4,450,4
sector69.0,1000,3,100,3
sector69.0,1000,3,100,3
sector69.0,1500,3,175,3
sector69.0,1500,3,175,3
sector69.0,1740,3,185,3
sector69.0,1740,3,185,3
sector69.0,1850,4,230,4
sector7.0,750,2,45,2
sector7.0,750,2,45,2
sector7.0,800,3,46.5,3
sector7.0,800,3,46.5,3
sector7.0,900,2,62,2
sector7.0,900,2,62,2
sector7.0,1650,3,114,3
sector7.0,1650,3,114,3
sector7.0,2600,4,209,4
sector7.0,900,2,62,2
sector70.0,1780,4,189,4
sector70.0,1780,4,189,4
sector70.0,1365,3,155,3
sector70.0,1365,3,155,3
sector70.0,1000,3,100,3
sector70.0,1000,3,100,3
sector70.0,2150,3,275,3
sector70.0,2150,3,275,3
sector70.0,1290,3,140,2
sector70.0,1290,3,140,2
sector70.0,1500,3,130,3
sector70.0,1500,3,130,3
sector70.0,1800,4,245,4
sector70.0,2400,4,290,4
sector70.0,2400,4,290,4
sector70.0,578,2,47.4,2
sector70.0,578,2,47.4,2
sector70.0,1400,3,135,3
sector70.0,1400,3,135,3
sector70.0,1475,3,170,3
sector70.0,2000,4,255,4
sector70.0,1475,3,170,3
sector70.0,1100,2,124,2
sector70.0,2512,3,270,3
sector70.0,2512,3,270,3
sector70.0,1514,2,146,2
sector70.0,1514,2,146,2
sector70.0,1149,3,120,3
sector70.0,1149,3,120,3
sector70.0,1800,4,245,4
sector70.0,1100,2,124,2
sector70.0,2000,4,255,4
sector71.0,1935,4,165,4
sector71.0,1935,4,165,4
sector71.0,1700,4,123,4
sector71.0,1700,4,123,4
sector71.0,1750,5,160,4
sector71.0,1750,5,160,4
sector71.0,1800,5,132,4
sector71.0,1800,5,132,4
sector71.0,400,1,40,1
sector71.0,400,1,40,1
sector71.0,1743,3,150,3
sector71.0,1743,3,150,3
sector72.0,1800,4,380,3
sector72.0,1800,4,380,3
sector72.0,2550,3,410,3
sector72.0,2550,3,410,3
sector72.0,2563,4,425,4
sector72.0,2500,4,400,4
sector72.0,2563,3,400,4
sector72.0,2563,4,390,3
sector72.0,2550,4,410,4
sector72.0,2500,3,400,4
sector76.0,1350,3,157,3
sector76.0,1350,3,157,3
sector76.0,2700,4,414,3
sector76.0,2880,4,400,4
sector76.0,2880,4,400,4
sector76.0,1310,2,124,3
sector76.0,1310,2,124,3
sector76.0,1800,3,296,3
sector76.0,1800,3,296,3
sector76.0,1650,3,185,3
sector76.0,2700,4,414,3
sector77.0,1650,3,175,3
sector77.0,1650,3,175,3
sector77.0,1100,3,137,3
sector77.0,1100,3,137,3
sector77.0,1650,3,190,3
sector77.0,1650,3,190,3
sector77.0,1600,3,210,3
sector77.0,1600,3,210,3
sector77.0,2000,4,230,3
sector77.0,2000,4,230,3
sector77.0,1800,3,210,3
sector77.0,1800,3,210,3
sector77.0,1950,4,225,4
sector77.0,1950,4,225,4
sector77.0,2000,4,230,3
sector77.0,2000,4,230,3
sector79.0,1950,4,200,3
sector79.0,900,2,114,2
sector79.0,1700,3,190,3
sector79.0,1518,3,160,3
sector79.0,1518,3,160,3
sector79.0,1750,3,182,3
sector79.0,1600,5,171,3
sector79.0,1600,5,171,3
sector79.0,1325,3,115,3
sector79.0,1325,3,115,3
sector79.0,1138,2,104,2
sector79.0,1138,2,104,2
sector79.0,1138,2,115,2
sector79.0,1138,2,115,2
sector79.0,1518,3,143,3
sector79.0,1518,3,143,3
sector79.0,2289,3,260,3
sector79.0,1525,3,125,3
sector79.0,1450,2,153,2
sector79.0,2289,3,260,3
sector79.0,1525,3,125,3
sector79.0,1900,3,199,3
sector79.0,1500,2,180,2
sector79.0,1500,2,180,2
sector79.0,1500,3,175,3
sector79.0,1500,3,175,3
sector79.0,2675,4,260,4
sector79.0,1030,2,129,2
sector79.0,1030,2,129,2
sector79.0,1138,2,115,2
sector79.0,1400,3,149,3
sector79.0,1138,2,115,2
sector79.0,1400,3,149,3
sector79.0,1530,2,110,2
sector79.0,473,2,43.7,2
sector79.0,473,2,43.7,2
sector79.0,1000,3,126,3
sector79.0,1000,3,126,3
sector79.0,1725,3,180,3
sector79.0,1725,3,180,3
sector79.0,1572,3,130,3
sector79.0,1100,2,130,2
sector79.0,1950,4,200,3
sector79.0,900,2,114,2
sector79.0,1700,3,190,3
sector79.0,1950,4,200,3
sector79.0,900,2,114,2
sector79.0,1700,3,190,3
sector79.0,1450,2,153,2
sector79.0,1900,3,199,3
sector79.0,1530,2,110,2
sector79.0,1572,3,130,3
sector79.0,1950,4,200,3
sector79.0,900,2,114,2
sector79.0,1700,3,190,3
sector81.0,1095,2,110,3
sector81.0,1095,2,110,3
sector81.0,1101,2,97,2
sector81.0,1101,2,97,2
sector81.0,645,3,50,3
sector81.0,2103,3,300,3
sector81.0,450,1,32.5,1
sector81.0,1225,2,69.6,2
sector81.0,3000,4,380,4
sector81.0,3000,4,380,4
sector81.0,1225,2,69.6,2
sector82.0,1280,3,120,3
sector82.0,1280,3,120,3
sector82.0,1600,3,158,3
sector82.0,1600,3,158,3
sector82.0,3960,5,300,5
sector82.0,3960,5,300,5
sector82.0,1100,2,90,2
sector82.0,1100,2,90,2
sector82.0,1298,3,100,3
sector82.0,1298,3,100,3
sector82.0,1790,3,130,3
sector82.0,1790,3,130,3
sector82.0,1500,3,133,3
sector82.0,1390,3,130,3
sector82.0,1390,3,130,3
sector82.0,1790,3,130,3
sector82.0,1500,3,133,3
sector83.0,1900,3,195,3
sector83.0,1900,3,195,3
sector83.0,1400,3,120,3
sector83.0,1400,3,120,3
sector83.0,1450,3,137,3
sector83.0,1720,3,180,3
sector83.0,1450,3,137,3
sector83.0,1720,3,180,3
sector83.0,1400,3,155,3
sector83.0,1400,3,155,3
sector83.0,1085,2,90,2
sector83.0,1085,2,90,2
sector83.0,1500,3,122,3
sector83.0,1500,3,122,3
sector83.0,2700,3,220,3
sector83.0,2700,3,220,3
sector83.0,1450,2,120,3
sector83.0,950,2,99,2
sector83.0,950,2,99,2
sector83.0,1720,3,165,3
sector83.0,1720,3,165,3
sector83.0,1900,3,200,3
sector83.0,1750,3,130,3
sector83.0,1900,3,200,3
sector83.0,1200,3,108,3
sector83.0,1400,3,115,3
sector83.0,1200,3,108,3
sector83.0,1400,3,115,3
sector83.0,1150,3,111,3
sector83.0,1150,3,111,3
sector83.0,1100,3,114,3
sector83.0,1100,3,114,3
sector83.0,1130,3,115,3
sector83.0,1130,3,115,3
sector83.0,1735,3,165,3
sector83.0,1735,3,165,3
sector84.0,1050,3,120,3
sector84.0,1050,3,120,3
sector84.0,1350,2,121,2
sector84.0,1350,2,121,2
sector84.0,1150,3,85,3
sector84.0,1150,3,85,3
sector84.0,1350,3,79.9,3
sector84.0,1350,3,79.9,3
sector84.0,1241,4,100,4
sector84.0,2741,4,205,4
sector84.0,2741,4,205,4
sector84.0,1350,3,85,3
sector84.0,1240,3,145,3
sector84.0,2000,3,150,3
sector84.0,1260,3,110,3
sector85.0,2812,4,250,4
sector85.0,2812,4,250,4
sector85.0,2000,3,265,3
sector85.0,2000,3,265,3
sector85.0,1405,2,135,2
sector85.0,1405,2,135,2
sector85.0,1806,3,216,3
sector85.0,1806,3,216,3
sector85.0,2003,4,250,4
sector85.0,2003,4,250,4
sector85.0,2812,4,250,4
sector85.0,2250,4,185,4
sector85.0,2812,4,250,4
sector85.0,1240,4,165,3
sector85.0,1240,4,165,3
sector85.0,3000,5,350,5
sector85.0,2100,3,240,4
sector85.0,2100,3,240,4
sector85.0,2560,4,225,5
sector85.0,2560,4,225,5
sector85.0,1830,3,195,3
sector85.0,1830,3,195,3
sector85.0,3000,5,350,5
other,1895,3,185,3
other,2100,5,185,4
other,2100,5,185,4
other,1895,3,230,3
other,1895,3,230,3
sector88.0,1100,2,110,2
sector88.0,1100,2,110,2
sector88.0,1480,3,156,3
sector88.0,1479,2,150,2
sector88.0,381,1,26,1
sector88.0,381,1,26,1
sector88.0,2059,3,144,3
sector88.0,2059,3,144,3
sector88.0,800,3,60,3
sector88.0,1463,2,125,2
sector88.0,1479,2,150,2
sector88.0,1463,2,125,2
sector89.0,1200,3,95,2
sector89.0,1200,3,95,2
sector89.0,1103,2,88,2
sector89.0,1103,2,88,2
sector89.0,2150,4,185,3
sector89.0,2150,4,185,3
sector89.0,900,2,95,2
sector89.0,900,2,95,2
sector89.0,890,2,92,2
sector89.0,890,2,92,2
sector89.0,1067,3,123,3
sector89.0,1543,3,131,3
sector89.0,1543,3,131,3
sector89.0,1423,3,115,3
sector89.0,1423,3,115,3
sector89.0,1580,3,130,3
sector89.0,1580,3,130,3
sector89.0,1100,2,95,2
sector89.0,1100,2,95,2
sector89.0,1423,3,116,3
sector89.0,2050,3,165,3
sector89.0,1423,3,116,3
sector89.0,1423,3,140,3
sector89.0,1423,3,140,3
sector89.0,1423,4,133,3
sector89.0,1423,4,133,3
sector89.0,1130,2,83.7,2
sector89.0,1130,2,83.7,2
sector89.0,1423,4,104,4
sector89.0,1423,4,104,4
sector89.0,1750,3,150,3
sector89.0,1750,3,150,3
sector89.0,1423,3,105,3
sector89.0,1423,3,105,3
sector89.0,2050,3,165,3
other,1350,3,98,3
other,1350,3,98,3
other,1450,4,120,4
other,1450,4,120,4
other,1350,3,138,3
other,1350,3,138,3
other,320,1,27,1
other,320,1,27,1
sector92.0,1500,4,98,4
sector92.0,1500,4,98,4
sector92.0,640,3,41,3
sector92.0,640,3,41,3
sector92.0,1800,4,97,4
sector92.0,1800,4,97,4
sector92.0,1432,3,92,3
sector92.0,1432,3,92,3
sector92.0,1050,2,81,2
sector92.0,1050,3,90,3
sector92.0,1050,3,90,3
sector92.0,2093,4,130,4
sector92.0,1432,2,91,3
sector92.0,2093,4,130,4
sector92.0,1432,2,91,3
sector92.0,1224,3,65,3
sector92.0,1224,3,65,3
sector92.0,1091,3,90.1,3
sector92.0,1250,4,92,4
sector92.0,1250,4,92,4
sector92.0,1091,3,86.5,3
sector92.0,1091,3,86.5,3
sector92.0,1900,4,160,4
sector92.0,1197,2,78.1,2
sector92.0,1900,4,160,4
sector92.0,1063,2,57,2
sector92.0,1851,3,111,3
sector92.0,1851,3,102,3
sector92.0,645,3,55.8,3
sector92.0,1851,3,102,3
sector92.0,645,3,55.8,3
sector92.0,1523,3,82,3
sector92.0,1523,3,82,3
sector92.0,1320,2,88,2
sector92.0,1197,2,98,2
sector92.0,1197,2,98,2
sector92.0,1432,3,111,3
sector92.0,1091,3,90.1,3
sector92.0,1197,2,78.1,2
sector92.0,1063,2,57,2
sector92.0,1320,2,88,2
sector92.0,1628,3,92,3
sector92.0,1851,3,111,3
sector92.0,1432,3,111,3
sector92.0,1432,3,111,3
sector93.0,1566,3,112,3
sector93.0,1566,3,112,3
sector93.0,641,2,49.1,2
sector93.0,641,2,49.1,2
sector93.0,1530,3,160,3
sector93.0,1278,2,96,2
sector93.0,900,2,101,2
sector93.0,900,2,101,2
sector93.0,1530,3,160,3
sector93.0,1278,2,96,2
sector95.0,645,3,45,3
sector95.0,645,3,45,3
sector95.0,366,1,20,1
sector95.0,366,1,20,1
sector95.0,645,3,41.9,3
sector95.0,645,3,41.9,3
sector95.0,430,1,23,1
sector95.0,430,1,23,1
sector95.0,2561,4,130,4
sector95.0,2561,4,130,4
sector95.0,398,1,19.5,1
sector95.0,398,1,19.5,1
sector95.0,410,1,20.7,1
sector95.0,560,2,27,2
sector95.0,410,1,20.7,1
sector95.0,560,2,27,2
sector95.0,514,2,30,2
sector95.0,514,2,30,2
sector95.0,357,1,17.3,1
sector95.0,357,1,17.3,1
sector95.0,1500,3,125,3
sector95.0,1128,2,75,2
sector95.0,1500,3,125,3
sector95.0,1128,2,75,2
sector95.0,450,1,24.4,1
sector95.0,450,1,24.4,1
sector95.0,560,2,27,2
sector95.0,560,2,27,2
sector95.0,990,2,48,2
sector99.0,1465,5,152,4
sector99.0,1465,5,86,4
sector99.0,550,2,265,2
sector99.0,550,2,71.05,2
sector99.0,1220,3,78,3
sector99.0,550,2,273,2
sector99.0,1685,3,310,3
sector99.0,1685,3,95,3
sector99.0,1310,2,89.5,2
sector99.0,1310,2,156,2
sector99.0,1220,3,70,3
